"","Gene","NumberOfConnections","kTotal","kWithin","kOut","kDiff","PSID","Module","PCblack.cor","PCblack.pval","PCblue.cor","PCblue.pval","PCbrown.cor","PCbrown.pval","PCgreen.cor","PCgreen.pval","PCgreenyellow.cor","PCgreenyellow.pval","PCgrey.cor","PCgrey.pval","PCmagenta.cor","PCmagenta.pval","PCpink.cor","PCpink.pval","PCpurple.cor","PCpurple.pval","PCred.cor","PCred.pval","PCturquoise.cor","PCturquoise.pval","PCyellow.cor","PCyellow.pval"
"1","CYBA",615,26.0499595923566,8.19078357196674,17.8591760203899,-9.66839244842315,"CYBA","black","0.839697567783726","1.59020451522701e-170","0.628216182074462","3.06932625759264e-71","0.455766474685152","5.40164695741222e-34","0.556246457616599","5.08185905165375e-53","0.457015301379364","3.4105325459256e-34","0.0454493537885963","0.2520315826264","-0.30396543412812","4.39908190575131e-15","-0.203211180293129","2.30596674990264e-07","0.0591331117567021","0.136007262880671","-0.515847975118223","1.33620980587891e-44","-0.605737742699965","4.79095174664398e-65","0.186297220765861","2.19920292623756e-06"
"2","FCER1G",698,27.0941140463985,8.37515474184191,18.7189593045566,-10.3438045627147,"FCER1G","black","0.828857949986496","2.59714192043453e-162","0.602193910201945","4.0942154453373e-64","0.508933664926527","2.86131332014087e-43","0.574279364186703","3.634541466577e-57","0.449645173280988","5.00655423810259e-33","-0.0534015343051132","0.178267947169235","-0.269156474590926","4.92449766112366e-12","-0.128009908868683","0.0012045175868738","0.0788032988234564","0.0468015773628348","-0.471204404975051","1.60281830586702e-36","-0.617064704612063","4.18998277153782e-68","0.267010060049077","7.3565738086268e-12"
"3","ITGB2",683,21.1578581732123,8.80054576609627,12.357312407116,-3.55676664101976,"ITGB2","black","0.858662190484127","1.75587207362943e-186","0.532425352761921","6.42734867939025e-48","0.437256812580914","3.95799460537559e-31","0.505737716353792","1.15187207479019e-42","0.409025393038108","4.36644540559494e-27","-0.0163532772015082","0.680372445983346","-0.204360300249164","1.96419472876527e-07","-0.121110869064803","0.00219882170085104","0.0840941296595346","0.0338351252974202","-0.403810014849191","2.21720054751719e-26","-0.515751460181758","1.39527679411156e-44","0.219762463842523","2.09082212839525e-08"
"4","LST1",639,14.209694119787,8.33083651980065,5.87885759998631,2.45197891981435,"LST1","black","0.840747756511559","2.36201753540998e-171","0.351936846051952","5.20453803227264e-20","0.268333321859214","5.74639453020908e-12","0.306717994789787","2.42077597620518e-15","0.218429449366717","2.5551288124866e-08","-0.00877461930377934","0.825068558406765","-0.134959843025782","0.000637401319665301","-0.0522578242014159","0.187759031036791","0.0179324279852588","0.651455285177886","-0.301456856443522","7.54033187839498e-15","-0.361110742773031","4.70008447774169e-21","0.148366676227756","0.000171229513859193"
"5","MYO1F",626,20.0788516152248,8.42145463852975,11.6573969766951,-3.23594233816531,"MYO1F","black","0.846221857056494","9.05319533144183e-176","0.468382053646238","4.74981366269387e-36","0.47157988357616","1.38607242997743e-36","0.491690845689531","4.41796561489882e-40","0.285979265187445","1.8692785235483e-13","-0.119274530374909","0.00256800893658876","-0.148624913840899","0.000166759950391314","-0.0418724580372853","0.291333774430261","0.165054931167569","2.83460908684471e-05","-0.33908449353467","1.32692416052132e-18","-0.500848579622672","9.42715561621818e-42","0.283619135200364","2.99829625465951e-13"
"6","PTPRC",683,20.1145419588322,9.37773863718243,10.7368033216498,-1.35906468446735,"PTPRC","black","0.871020842480178","3.42809833145576e-198","0.528808510269058","3.52888879635717e-47","0.336051148021629","2.78836304262982e-18","0.438637284285312","2.45376846745609e-31","0.361858713257797","3.84994925657804e-21","0.0956815916145349","0.0157051858710563","-0.323346054753422","5.72497543126658e-17","-0.191305806606643","1.15124705531637e-06","-0.036005317012808","0.364278595008492","-0.456694967506569","3.83819143581808e-34","-0.496898575393732","5.02660195773775e-41","0.095716226944234","0.0156673388920794"
"7","RNASET2",621,20.5658927320909,7.95272296623489,12.613169765856,-4.66044679962111,"RNASET2","black","0.835345997151641","3.71854409967799e-167","0.52149440325393","1.03823237982773e-45","0.460310083696615","1.00452860143977e-34","0.533443650504148","3.96444624478523e-48","0.370895840236842","3.31347259958635e-22","-0.0215276088483725","0.587592586684355","-0.214079135038495","4.87318771287805e-08","-0.0935311061423746","0.0182178823175506","0.0878916958977514","0.0265396070352415","-0.397663503081748","1.45071517485333e-25","-0.538227498658675","4.00592572827843e-49","0.226473284188965","7.47163686905517e-09"
"8","SLC7A7",671,18.5304398382244,7.62428094847456,10.9061588897498,-3.28187794127524,"SLC7A7","black","0.836517787151335","4.70931535659752e-168","0.480660371749766","3.90615320602957e-38","0.436477024509708","5.18017562008403e-31","0.480516595586365","4.13671713982694e-38","0.337770648795536","1.83219317707228e-18","-0.0729948392116464","0.0656003650575819","-0.155838293399581","7.82784808473045e-05","-0.06127214318784","0.122381738497259","0.0971931157888214","0.0141262189744057","-0.331129714038238","9.14192911079266e-18","-0.477602152299346","1.3151867312161e-37","0.238652331623817","1.06177200878509e-09"
"9","TBXAS1",701,21.7364079191935,10.1274641930058,11.6089437261877,-1.48147953318184,"TBXAS1","black","0.882211436572697","6.87190687162971e-210","0.508833800934638","2.98924822103883e-43","0.428107509694956","8.90736130345438e-30","0.500394266907105","1.14411368528713e-41","0.357441296947755","1.24134979405275e-20","-0.0346170815770963","0.383076888691839","-0.215313739594411","4.06286327916787e-08","-0.117568403907451","0.00296082046630259","0.0822713763346142","0.0379052871593766","-0.400308920259","6.49483509467435e-26","-0.522758627980324","5.82093804279467e-46","0.211756767079557","6.84078983012105e-08"
"10","TYROBP",710,21.6013474572743,9.72188151729188,11.8794659399824,-2.15758442269052,"TYROBP","black","0.871851170626176","5.07302326059488e-199","0.443592650151454","4.33082547035045e-32","0.479755675434192","5.60111326675299e-38","0.456443939604236","4.21010622460479e-34","0.323222260817933","5.89196434453052e-17","-0.172395809638211","1.21250411030337e-05","-0.0882049445569974","0.0260034612254202","0.0373979318653695","0.346009932292578","0.1578515976343","6.30004198694219e-05","-0.298305889610094","1.47279640069274e-14","-0.501597103285344","6.84795312237946e-42","0.346627774533555","2.01965344467851e-19"
