"","ref.A.inColumnsAlsoPresentIn.A","ref.A.inColumnsAlsoPresentIn.B.moduleSize","ref.A.inColumnsAlsoPresentIn.B.Zsummary.pres","ref.A.inColumnsAlsoPresentIn.B.Zdensity.pres","ref.A.inColumnsAlsoPresentIn.B.Zconnectivity.pres","ref.A.inColumnsAlsoPresentIn.B.Z.propVarExplained.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanSignAwareKME.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanSignAwareCorDat.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanAdj.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanMAR.pres","ref.A.inColumnsAlsoPresentIn.B.Z.cor.kIM","ref.A.inColumnsAlsoPresentIn.B.Z.cor.kME","ref.A.inColumnsAlsoPresentIn.B.Z.cor.kMEall","ref.A.inColumnsAlsoPresentIn.B.Z.cor.cor","ref.A.inColumnsAlsoPresentIn.B.Z.cor.MAR"
"black",NA,84,5.38956825010131,8.16409396050196,2.61504253970067,8.41463458618281,7.91355333482111,21.7095814072696,6.51827951763121,0.345076664498567,2.40218357042673,2.61504253970067,26.5167823713065,7.46593408892892,2.67815674606368
"blue",NA,212,3.22816457137802,4.88685817699659,1.56947096575945,1.68829329907346,6.67998263108678,9.94216513784204,3.0937337229064,4.18881791945358,1.56947096575945,1.1941653208172,22.1065619389196,7.21568326815717,9.25690291887665
"brown",NA,164,0.460543509918856,-0.470097176005676,1.39118419584339,-2.01841983885607,1.10160161930614,1.07822548684472,-2.27205661154648,-1.59171486680584,1.39118419584339,1.32113123269812,11.1256436960425,5.1676798445319,1.52588198328469
"gold",NA,100,0.698520034201135,1.04400123504418,0.353038833358085,0.603253749803237,-0.964252526969022,2.63693490931138,1.48474872028513,1.89539557130281,0.353038833358085,0.272811039358987,6.9897945646316,3.62338038112164,2.06302531340949
"green",NA,123,0.204568282571058,0.252217948662485,0.156918616479631,-0.351529277218711,0.62234670882302,5.45009630575984,-0.11791081149805,0.340907981030516,0.156918616479631,-0.615561931707216,8.21931788203824,2.82021784693442,-0.195071194834312
"greenyellow",NA,38,5.54418195548678,10.9030772228808,0.18528668809274,9.5242834650566,6.67035208518645,12.281870980705,26.0483791398782,7.14909699174585,0.18528668809274,-0.123244255883194,21.0560914240636,2.27767170668072,-0.45416326896521
"grey",NA,1398,4.37062778344667,2.88252450427546,5.85873106261789,-0.673863775950162,4.62751114970074,11.4538305408528,1.13753785885018,1.70179124599842,5.27987343188701,5.85873106261789,10.6451357075785,21.6222989506087,13.8534947829305
"magenta",NA,14,1.55008070995625,2.29657412049387,0.803587299418641,0.568917579359065,4.02423066162867,4.44321816308739,-0.222047849079441,-0.127049876321243,-0.99142441556566,0.803587299418641,16.1284768982275,3.39510422346126,-1.27364677724162
"pink",NA,18,0.624077443199579,1.72830819516551,-0.480153308766357,3.38754140148474,1.35297207129346,-0.770188964772816,2.10364431903757,1.63889379661969,-1.82513883047191,1.51811269297525,20.2592807944998,-0.480153308766357,-1.78812311712157
"purple",NA,16,3.27252150702952,3.4411373309754,3.10390568308363,2.93563316637649,3.9466414955743,4.83292744549851,1.16652159479374,0.244687958220153,1.83373581939826,3.10390568308363,6.34231037861476,3.53426210674511,1.99600217499218
"red",NA,39,1.5171292271967,2.73499040031748,0.299268054075919,5.08023806668247,1.40003850603572,1.00871804376467,4.06994229459923,1.69658555297135,-0.110026664317323,0.299268054075919,14.1338626183676,1.53444955353797,1.40217012209463
"turquoise",NA,361,2.64732545599723,2.70802240132274,2.58662851067171,2.21324466581375,4.05882431625204,0.0361890475886385,3.20280013683174,2.42841895399288,2.58662851067171,1.48410303254988,10.6186787407392,7.77554575006223,14.400781357566
"yellow",NA,73,0.989378643616502,0.258643156689649,1.72011413054336,0.0936805307994582,1.45113993424084,0.42360578257984,-0.488123392870875,-0.311547036001434,-0.316033179257123,1.72011413054336,2.09489255599505,2.71996970599068,-1.12278556181996
