"","Gene","NumberOfConnections","kTotal","kWithin","kOut","kDiff","PSID","Module","PCblack.cor","PCblack.pval","PCblue.cor","PCblue.pval","PCbrown.cor","PCbrown.pval","PCcyan.cor","PCcyan.pval","PCgreen.cor","PCgreen.pval","PCgreenyellow.cor","PCgreenyellow.pval","PCgrey.cor","PCgrey.pval","PCgrey60.cor","PCgrey60.pval","PClightcyan.cor","PClightcyan.pval","PCmagenta.cor","PCmagenta.pval","PCmidnightblue.cor","PCmidnightblue.pval","PCpink.cor","PCpink.pval","PCpurple.cor","PCpurple.pval","PCred.cor","PCred.pval","PCsalmon.cor","PCsalmon.pval","PCtan.cor","PCtan.pval","PCturquoise.cor","PCturquoise.pval","PCyellow.cor","PCyellow.pval"
"1","APOD",708,29.4897927251294,11.1938564473854,18.295936277744,-7.10207983035859,"APOD","yellow","0.547915184862293","7.59142825229205e-07","0.0319457019306715","0.791418682239269","-0.00878678123688591","0.942024214924905","-0.010357590004143","0.931682838477125","0.0832989321392167","0.489796558252271","-0.193882075445543","0.105211852766206","0.527696478144784","2.25851999003963e-06","0.32665545592022","0.0054308523881686","0.0706663711909627","0.558138210013657","0.652657933720462","6.94710852687286e-10","0.106524444053602","0.376600079405188","0.0680376371226889","0.572908448398051","0.127801352744176","0.288180490313011","-0.198210189479973","0.0975218575026415","0.0120854976200678","0.920320285879049","0.210053208791232","0.0787141235581671","-0.147749325310029","0.218838837830454","0.874060850964928","2.53579104699037e-23"
"2","C1QA",530,22.0919768238632,9.76574066268207,12.3262361611811,-2.56049549849902,"C1QA","yellow","0.291934771527709","0.0135002560151768","-0.124374780433869","0.301408442760463","-0.212637219342337","0.0750218755146667","-0.230947532436132","0.0526549130409404","0.0750304373147255","0.534025142330265","-0.0913567766570652","0.44862538979667","0.455779523714179","6.49160741281425e-05","0.273332832658447","0.0210898996687263","0.166462417247417","0.165307014071789","0.489959804590216","1.44557608953725e-05","0.180506458362203","0.131969433876323","0.178606707205319","0.136154491757477","0.147874031525857","0.218445932856719","-0.2732179102381","0.0211462615199779","-0.0110193655401286","0.927329332916562","0.13818171834113","0.250475268891447","-0.00470440111251309","0.968940950833146","0.84902995008565","8.53059768814461e-21"
"3","C1QB",401,22.6183978213199,9.98621537527806,12.6321824460419,-2.64596707076383,"C1QB","yellow","0.364854601601478","0.00175791024080661","0.0260566402515091","0.829224246339034","-0.11133024001367","0.355323918958917","-0.201517560076553","0.0919473213792707","0.161153683762678","0.179402684112095","-0.237595850115556","0.0460262878152728","0.389661505518385","0.000782578210674027","0.199655881056844","0.0950535071451982","0.158843541457317","0.185802093803801","0.458374753166732","5.82399206741668e-05","0.155827640518295","0.194402782378405","0.0960009412101014","0.425798480633105","0.0584809838061016","0.628075178578609","-0.281397572473031","0.0174415533483473","-0.00901149157706736","0.940544214330281","0.048208194817095","0.68972262211685","-0.037339269977268","0.757207810934499","0.854999241079421","2.35443443767238e-21"
"4","C1QC",436,25.9518894478876,10.6744730225748,15.2774164253128,-4.60294340273796,"C1QC","yellow","0.348534910322355","0.0028948952407938","-0.123844675401786","0.303489623362829","-0.0301145806677814","0.803126852062637","-0.0921997860524623","0.444432095536874","0.000689164476591068","0.995448948906422","-0.0482128305678242","0.689694304506822","0.435170511710528","0.000149092245161413","0.313534483484702","0.00775646799713783","0.0651495330444835","0.589342071903401","0.61591121729261","1.08446687962063e-08","0.251304446871187","0.0345155539338492","-0.000563535546124944","0.99627856098562","0.103729709221389","0.389318825347426","-0.145388024459173","0.22637231095767","0.0898981968593132","0.455932268521235","0.175948921059179","0.142176600860238","0.117696970952296","0.328305851099802","0.872278923997389","3.99233473781093e-23"
"5","C4A",728,33.0255844065446,15.4047562240863,17.6208281824583,-2.21607195837208,"C4A","yellow","0.434549404784394","0.000152750829914455","-0.0250954596999199","0.835434009070971","0.0385898848482303","0.749338649400131","-0.236574486119261","0.0469974909401225","0.246388238867043","0.0383305158439406","-0.202543680543769","0.090269673899187","0.666175253010977","2.29479023049816e-10","0.466330477453076","4.15286541485517e-05","0.137251757347849","0.25370877438706","0.535060143839183","1.53082979076352e-06","0.17252315756055","0.150231187554622","0.258963535359665","0.0292070442645059","-0.0518233921541304","0.667770874502455","-0.363520477053789","0.00183286755928092","-0.119670980081944","0.320200921346686","0.0308083873136136","0.798685421778494","-0.188423857028501","0.11557123221874","0.939850762496124","6.58453554825987e-34"
"6","C4B",729,33.0255844065446,15.4047562240863,17.6208281824583,-2.21607195837208,"C4B","yellow","0.434549404784394","0.000152750829914455","-0.0250954596999199","0.835434009070971","0.0385898848482303","0.749338649400131","-0.236574486119261","0.0469974909401225","0.246388238867043","0.0383305158439406","-0.202543680543769","0.090269673899187","0.666175253010977","2.29479023049816e-10","0.466330477453076","4.15286541485517e-05","0.137251757347849","0.25370877438706","0.535060143839183","1.53082979076352e-06","0.17252315756055","0.150231187554622","0.258963535359665","0.0292070442645059","-0.0518233921541304","0.667770874502455","-0.363520477053789","0.00183286755928092","-0.119670980081944","0.320200921346686","0.0308083873136136","0.798685421778494","-0.188423857028501","0.11557123221874","0.939850762496124","6.58453554825987e-34"
"7","CTSS",549,29.0996944586654,12.7610697088384,16.338624749827,-3.57755504098868,"CTSS","yellow","0.267092862548962","0.0243416659983626","-0.0088671225981421","0.941495043128669","-0.143288628332681","0.233220585232454","-0.0814592806171231","0.499467185519151","0.123505824103635","0.304824827587427","-0.262825792119795","0.0268020871632917","0.489717511247627","1.46188788455472e-05","0.272122454009581","0.0216899824505739","0.0192886660750522","0.873149609962534","0.70427269481299","7.26173420269909e-12","0.0937805406280629","0.436628394070478","0.0859615245589302","0.475976391383368","0.061781394624956","0.608771127046531","-0.165970425734216","0.166577990238178","0.107065047591913","0.374169079653022","0.150825476659055","0.209291328650005","-0.0607469233296197","0.614793943717259","0.89994506495934","1.41285102906925e-26"
"8","LGALS3BP",715,22.6266042288566,10.6181858531172,12.0084183757394,-1.39023252262217,"LGALS3BP","yellow","0.32709286566874","0.00536528282161208","-0.129746489384329","0.280844493540592","-0.0115170729334552","0.924056547746961","-0.314774446005256","0.00750443998210319","0.125947828328718","0.29528753194184","-0.131514212777755","0.27428610337606","0.464699743778101","4.4539968566664e-05","0.327902871545284","0.00524570337572822","0.136593135616882","0.256015943982496","0.41374382771568","0.000335112718739784","0.162037343667659","0.176997698905821","0.0147008719090245","0.90315279553725","0.0775073563725309","0.52057207660179","-0.268755085233764","0.0234364552210623","0.10023087039599","0.405597165466705","0.130031524264315","0.279780010237221","0.0425555152493788","0.724557750561094","0.874172786518998","2.46394895065964e-23"
"9","MPEG1",508,23.7034298084132,9.82288228399572,13.8805475244175,-4.05766524042173,"MPEG1","yellow","0.219284335578676","0.066157089114145","-0.151011319603706","0.20872413025007","0.112197907663647","0.351563234497519","-0.212777966859542","0.0748248060776631","0.0277538202809809","0.818285183894708","-0.0263078799295254","0.827602800439331","0.495661901491791","1.10734610484292e-05","0.452198221768864","7.52958803776297e-05","-0.0465480131090159","0.699890950725525","0.597888565527583","3.68330323005522e-08","0.251397122529701","0.0344468025849349","0.0037840968130137","0.975014736690387","-0.175823132980578","0.14246649513272","-0.191412920394795","0.109805138861536","0.0584853252197315","0.628049617697503","0.0134268236065356","0.911510695152644","0.151261125196684","0.207963433587127","0.851686236505435","4.8440780941247e-21"
"10","TREM2",569,25.1559133353743,10.1899838883203,14.9659294470541,-4.77594555873381,"TREM2","yellow","0.276631743183872","0.0195257042397325","-0.0586556014479829","0.627047429113357","-0.0507243022088684","0.674416313996567","-0.222562871166008","0.0621066789518657","0.0989818856065296","0.411502999398841","-0.153519659857076","0.201174984253105","0.529589476564626","2.04542907315963e-06","0.395077434976621","0.000650259659091824","0.0666523780627692","0.58076417217733","0.641703968847234","1.63787482511314e-09","0.116389366218455","0.333745655045463","0.0940372038385901","0.435368653900538","0.061550629941055","0.610112439761721","-0.187508168858072","0.117383451080043","0.0168828737761955","0.888863465303017","0.185079470447373","0.122295703619631","-0.0128955874774452","0.914998547266814","0.857426727116869","1.37194445855968e-21"
