"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"yellow","MicrogliByothersCuffdiff2FCover20__","User",2.14960040614663e-37
"magenta","MyeOligoByothersCuffdiff2FCover20__","User",3.04017005380865e-20
"red","NeuronByothersCuffdiff2FCover20__","User",2.59394065555204e-15
"blue","NeuronByothersCuffdiff2FCover20__","User",8.51811916443326e-11
"pink","NeuronByothersCuffdiff2FCover20__","User",5.53746907552073e-08
"turquoise","MyeOligoByothersCuffdiff2FCover20__","User",2.11774927571531e-07
"green","NeuronByothersCuffdiff2FCover20__","User",1.73987592803335e-06
"black","EndotheByothersCuffdiff2FCover20__","User",4.50794141596338e-06
"black","PreOligoByothersCuffdiff2FCover20__","User",0.00412577533353312
