"","Sample_name","Study","Astrocyte","neuron","oligodendrocyte_precursor_cells","newly_formed_oligodendrocytes","myelinating_oligodendrocytes","microglia","endothelial_cells","cell_type","tissue"
"1","astro_SRR1033783","GSE52564","astro","other","other","other","other","other","other","Astrocyte","cerebral cortex"
"2","astro_SRR1033784","GSE52564","astro","other","other","other","other","other","other","Astrocyte","cerebral cortex"
"3","neuron_SRR1033785","GSE52564","other","neuron","other","other","other","other","other","neuron","cerebral cortex"
"4","neuron_SRR1033786","GSE52564","other","neuron","other","other","other","other","other","neuron","cerebral cortex"
"5","preoligo_SRR1033787","GSE52564","other","other","preoligo","other","other","other","other","oligodendrocyte precursor cells","cerebral cortex"
"6","preoligo_SRR1033788","GSE52564","other","other","preoligo","other","other","other","other","oligodendrocyte precursor cells","cerebral cortex"
"7","newoligo_SRR1033789","GSE52564","other","other","other","newoligo","other","other","other","newly formed oligodendrocytes","cerebral cortex"
"8","newoligo_SRR1033790","GSE52564","other","other","other","newoligo","other","other","other","newly formed oligodendrocytes","cerebral cortex"
"9","myeoligo_SRR1033791","GSE52564","other","other","other","other","myeoligo","other","other","myelinating oligodendrocytes","cerebral cortex"
"10","myeoligo_SRR1033792","GSE52564","other","other","other","other","myeoligo","other","other","myelinating oligodendrocytes","cerebral cortex"
"11","microglia_SRR1033793","GSE52564","other","other","other","other","other","microglia","other","microglia","cerebral cortex"
"12","microglia_SRR1033794","GSE52564","other","other","other","other","other","microglia","other","microglia","cerebral cortex"
"13","endo_SRR1033795","GSE52564","other","other","other","other","other","other","endo","endothelial cells","cerebral cortex"
"14","endo_SRR1033796","GSE52564","other","other","other","other","other","other","endo","endothelial cells","cerebral cortex"
