"","ftp","study","sample","experiment","run","size(KB)","date"
"1","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033783/SRR1033783.sra","SRP033200","SRS504825","SRX380379","SRR1033783",NA,NA
"2","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033784/SRR1033784.sra","SRP033200","SRS504826","SRX380380","SRR1033784",NA,NA
"3","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033785/SRR1033785.sra","SRP033200","SRS504827","SRX380381","SRR1033785",NA,NA
"4","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033786/SRR1033786.sra","SRP033200","SRS504828","SRX380382","SRR1033786",NA,NA
"5","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033787/SRR1033787.sra","SRP033200","SRS504829","SRX380383","SRR1033787",NA,NA
"6","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033788/SRR1033788.sra","SRP033200","SRS504830","SRX380384","SRR1033788",NA,NA
"7","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033789/SRR1033789.sra","SRP033200","SRS504831","SRX380385","SRR1033789",NA,NA
"8","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033790/SRR1033790.sra","SRP033200","SRS504832","SRX380386","SRR1033790",NA,NA
"9","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033791/SRR1033791.sra","SRP033200","SRS504833","SRX380387","SRR1033791",NA,NA
"10","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033792/SRR1033792.sra","SRP033200","SRS504834","SRX380388","SRR1033792",NA,NA
"11","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033793/SRR1033793.sra","SRP033200","SRS504835","SRX380389","SRR1033793",NA,NA
"12","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033794/SRR1033794.sra","SRP033200","SRS504836","SRX380390","SRR1033794",NA,NA
"13","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033795/SRR1033795.sra","SRP033200","SRS504837","SRX380391","SRR1033795",NA,NA
"14","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033796/SRR1033796.sra","SRP033200","SRS504838","SRX380392","SRR1033796",NA,NA
"15","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033797/SRR1033797.sra","SRP033200","SRS504839","SRX380393","SRR1033797",NA,NA
"16","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033798/SRR1033798.sra","SRP033200","SRS504840","SRX380394","SRR1033798",NA,NA
"17","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1033799/SRR1033799.sra","SRP033200","SRS504841","SRX380395","SRR1033799",NA,NA
